timestamp,steering_angle_pred,steering_angle_real,throttle,speed,error,response_time,collision_flag,distance,average_speed
2025-04-01 14:06:40.987310,-0.06913580000400543,0.0,0.9952202411328062,0.0001,0.06913580000400543,0.11002492904663086,0,0.0,0.0001
2025-04-01 14:06:41.020979,-0.06913580000400543,0.0,0.9952202411328062,0.0001,0.06913580000400543,0.03042888641357422,0,5.066032829284668e-06,0.0001
2025-04-01 14:06:41.056531,-0.06815923750400543,0.0,0.9953435927178725,0.0655,0.06815923750400543,0.03257107734680176,0,0.0009834620684432984,0.021900000000000003
2025-04-01 14:06:41.090173,-0.06815923750400543,0.0,0.9953435927178725,0.0655,0.06815923750400543,0.030516862869262695,0,0.0020285980225753786,0.0328
2025-04-01 14:06:41.122785,-0.06815923750400543,0.0,0.9953435927178725,0.0655,0.06815923750400543,0.02971506118774414,0,0.0030068474537658695,0.03934
2025-04-01 14:06:41.156126,-0.06815923750400543,0.0,0.9953435927178725,0.0655,0.06815923750400543,0.030322790145874023,0,0.003966275669441224,0.043699999999999996
2025-04-01 14:06:41.191127,-0.06815923750400543,0.0,0.9953435927178725,0.0655,0.06815923750400543,0.03202199935913086,0,0.004941216029357911,0.04681428571428571
2025-04-01 14:06:41.225067,-0.06898024678230286,-1.7284,0.9928880203288526,0.9703,1.659419753217697,0.030931949615478516,0,0.020135158401710512,0.16225
2025-04-01 14:06:41.259004,-0.0682860016822815,-1.7284,0.9929833167492474,0.9703,1.6601139983177184,0.030915021896362305,0,0.03486093139420319,0.25203333333333333
2025-04-01 14:06:41.293430,-0.0692625641822815,-1.704,0.9876554315778954,1.7375,1.6347374358177185,0.03140711784362793,0,0.061223089961631776,0.40058
2025-04-01 14:06:41.326300,-0.07017573714256287,-1.704,0.982654263416498,2.229,1.633824262857437,0.029839038848876953,0,0.09551005834435272,0.5668
2025-04-01 14:06:41.359215,-0.06788988411426544,-1.704,0.9803369006099516,2.4539,1.6361101158857345,0.02989506721496582,0,0.1315682270093689,0.7240583333333334
2025-04-01 14:06:41.394509,-0.06954486668109894,-1.704,0.9738109958933082,2.9225,1.634455133318901,0.032289981842041016,0,0.17451335735814666,0.8931692307692308
2025-04-01 14:06:41.427240,-0.06858125329017639,-1.704,0.9703768320971486,3.1572,1.6354187467098236,0.029714107513427734,0,0.22436085069963835,1.0548857142857142
2025-04-01 14:06:41.460471,-0.06669439375400543,-1.7245,0.9581773022167857,3.8665,1.6578056062459945,0.03008890151977539,0,0.281181444643425,1.2423266666666666
2025-04-01 14:06:41.493413,-0.07130785286426544,-1.7245,0.9575406344948882,3.8665,1.6531921471357345,0.030014991760253906,0,0.33823817290930175,1.4063374999999998
2025-04-01 14:06:41.525585,-0.06721436977386475,-1.7316,0.9434754259959022,4.561,1.6643856302261353,0.02932906150817871,0,0.40523618992720034,1.591905882352941
2025-04-01 14:06:41.559295,-0.0682067722082138,-1.7544,0.9323769526249368,5.0188,1.6861932277917862,0.03065180778503418,0,0.47787577365412903,1.7822888888888886
2025-04-01 14:06:41.593753,-0.06944979727268219,-1.6972,0.9263780586337833,5.2459,1.6277502027273179,0.031481027603149414,0,0.5567863218845597,1.9645842105263156
2025-04-01 14:06:41.626123,-0.06825430691242218,-1.7386,0.9141875839629049,5.6975,1.6703456930875777,0.029458045959472656,0,0.6443651876268617,2.1512299999999995
2025-04-01 14:06:41.658579,-0.06952902674674988,-1.7145,0.9007692968396497,6.1448,1.64497097325325,0.029506206512451172,0,0.7334001676513978,2.3413999999999997
2025-04-01 14:06:41.690427,-0.06938642263412476,-1.6674,0.8939024618540385,6.365,1.5980135773658752,0.02901601791381836,0,0.8253584429931947,2.524290909090909
2025-04-01 14:06:41.722995,-0.06862878799438477,-1.7827,0.8796016725584218,6.8026,1.7140712120056152,0.029542207717895508,0,0.9228566228966524,2.710304347826087
2025-04-01 14:06:41.756107,-0.06856541335582733,-1.6804,0.8721644650663446,7.0181,1.6118345866441726,0.030012130737304688,0,1.0252850486725236,2.889795833333333
2025-04-01 14:06:41.790444,-0.06957654654979706,-1.7052,0.8566188200702038,7.4442,1.635623453450203,0.03128409385681152,0,1.1352343651171037,3.0719719999999997
2025-04-01 14:06:41.824607,-0.06911996006965637,-1.7362,0.8406161911199691,7.864,1.6670800399303436,0.03109884262084961,0,1.2560392153551407,3.256280769230769
2025-04-01 14:06:41.857038,-0.06927840411663055,-1.7064,0.8323761474980529,8.0703,1.6371215958833694,0.029376983642578125,0,1.3792467987653962,3.4345777777777777
2025-04-01 14:06:41.891270,-0.06834937632083893,-1.7382,0.8156498695315524,8.4777,1.669850623679161,0.031160831451416016,0,1.5022360962466736,3.6146892857142854
2025-04-01 14:06:41.922785,-0.06857119500637054,-1.7382,0.8070027463153984,8.6786,1.6696288049936294,0.028497934341430664,0,1.6347850429211426,3.7893068965517243
2025-04-01 14:06:41.956742,-0.06998850405216217,-1.7157,0.7892533822755405,9.0741,1.6457114959478378,0.031061887741088867,0,1.762219481872467,3.9654666666666665
2025-04-01 14:06:41.989386,-0.06888806819915771,-1.7141,0.7714450168347882,9.4617,1.6452119318008422,0.029667139053344727,0,1.9061620264316712,4.1427645161290325
2025-04-01 14:06:42.022665,-0.06961113214492798,-1.7394,0.7622901366815014,9.6512,1.669788867855072,0.03016805648803711,0,2.0475777961836243,4.314903125
2025-04-01 14:06:42.056686,-0.06852366030216217,-1.728,0.7440980559537939,10.0241,1.6594763396978378,0.031202077865600586,0,2.195384910438118,4.487909090909091
